	S_POR	POR	S_ARG	ARG	S_AME	AME	S_SPA	SPA	S_FRA	FRA	S_ITA	ITA	S_GER	GER	S_NED	NED	S_GBR	GBR	S_AUT	AUT	S_CAT	CAT	S_RSM	RSM	S_IND	IND	S_JPN	JPN	S_INA	INA	S_AUS	AUS	S_THA	THA	S_MAL	MAL	S_QAT	QAT	S_VAL	VAL	Pts
Bagnaia	1	1	6	16	1	Ret	2	1	3	Ret	1	1	2	2	2	1	14	2	1	1	2	DNS	3	3	2	Ret	3	2	8	1	0	2	7	2	3	3	5	2	5	1	467
Martin	2	Ret	8	5	3	Ret	4	4	1	2	3	2	1	1	6	5	6	6	3	7	5	3	1	1	1	2	1	1	1	Ret	0	5	1	1	2	4	1	10	1	Ret	428
Bezzecchi	Ret	3	2	1	6	6	9	Ret	7	1	2	8	7	4	1	2	2	Ret	Ret	3	8	12	2	2	5	1	6	4	3	5	0	6	6	4	7	6	13	13	7	Ret	329
Binder	12	6	1	17	5	13	1	2	2	6	11	5	6	Ret	5	4	9	3	2	2	4	Ret	5	14	4	4	2	Ret	19	6	0	4	2	3	5	Ret	7	5	2	3	293
Zarco	8	4	12	2	11	7	8	Ret	6	3	4	3	5	3	13	Ret	4	9	Ret	13	7	4	14	10	Ret	6	5	NC	12	Ret	0	1	9	10	8	12	10	12	9	2	225
A_Espargaro	6	9	Ret	15	4	Ret	Ret	5	8	5	8	6	9	16	4	3	5	1	7	9	1	1	8	12	Ret	Ret	Ret	5	Ret	10	0	8	5	8	12	Ret	Ret	Ret	13	8	206
Vinales	5	2	7	12	10	4	7	Ret	9	Ret	13	12	Ret	Ret	7	Ret	3	5	8	6	3	2	6	5	8	8	9	19	4	2	0	11	18	Ret	10	11	6	4	4	10	204
Marini	Ret	Ret	3	8	7	2	10	6	4	Ret	5	4	4	5	10	7	11	7	Ret	4	12	11	7	9	Ret	DNS	0	0	2	Ret	0	12	3	7	9	10	3	3	17	9	201
A_Marquez	9	5	5	3	Ret	Ret	Ret	8	15	Ret	Ret	Ret	8	7	9	6	1	Ret	4	5	10	6	9	11	DNS	DNS	0	0	DNS	DNS	0	9	8	Ret	1	2	4	6	8	6	177
Quartararo	10	8	9	7	19	3	12	10	Ret	7	10	11	13	13	3	Ret	21	15	15	8	18	7	13	13	6	3	15	10	5	3	0	14	11	5	16	5	8	7	Ret	11	172
