	POR	ARG	AME	SPA	FRA	ITA	GER	NED	GBR	AUT	CAT	RSM	IND	JPN	INA	AUS	THA	MAL	QAT	VAL
Bagnaia	1	16	Ret	1	Ret	1	2	1	2	1	DNS	3	Ret	2	1	2	2	3	2	1
Martin	Ret	5	Ret	4	2	2	1	5	6	7	3	1	2	1	Ret	5	1	4	10	Ret
Bezzecchi	3	1	6	Ret	1	8	4	2	Ret	3	12	2	1	4	5	6	4	6	13	Ret
Binder	6	17	13	2	6	5	Ret	4	3	2	Ret	14	4	Ret	6	4	3	Ret	5	3
Zarco	4	2	7	Ret	3	3	3	Ret	9	13	4	10	6	NC	Ret	1	10	12	12	2
A_Espargaro	9	15	Ret	5	5	6	16	3	1	9	1	12	Ret	5	10	8	8	Ret	Ret	8
Vinales	2	12	4	Ret	Ret	12	Ret	Ret	5	6	2	5	8	19	2	11	Ret	11	4	10
Marini	Ret	8	2	6	Ret	4	5	7	7	4	11	9	DNS	0	Ret	12	7	10	3	9
A_Marquez	5	3	Ret	8	Ret	Ret	7	6	Ret	5	6	11	DNS	0	DNS	9	Ret	2	6	6
Quartararo	8	7	3	10	7	11	13	Ret	15	8	7	13	3	10	3	14	5	5	7	11
Miller	7	6	Ret	3	Ret	7	6	Ret	8	15	8	Ret	14	6	7	7	16	8	9	Ret
Di_Ginnantonio	Ret	10	9	12	8	14	9	Ret	13	17	10	17	Ret	8	4	3	9	9	1	4
Morbidelli	14	4	8	11	10	10	12	9	14	11	14	15	7	17	14	17	11	7	16	7
M_Marquez	Ret	0	0	0	Ret	Ret	DNS	DNS	Ret	12	13	7	9	3	Ret	15	6	13	11	Ret
Bastianini	DNS	0	0	DNS	0	9	8	Ret	Ret	10	DNS	0	0	0	8	10	13	1	8	Ret
Oliveira	Ret	0	5	Ret	0	Ret	10	Ret	4	Ret	5	6	12	18	12	13	Ret	Ret	DNS	0
A_Fernandez	13	11	10	13	4	15	11	10	11	14	9	16	Ret	7	Ret	Ret	17	14	15	Ret
Nakagami	12	13	Ret	9	9	13	14	8	16	18	15	19	11	11	11	19	14	18	19	12
Rins	10	9	1	Ret	Ret	DNS	0	0	0	0	0	0	0	WD	9	DNS	0	0	0	Ret
R_Fernandez	Ret	14	Ret	15	WD	17	15	12	10	Ret	Ret	8	10	9	13	16	15	Ret	17	5
Pedrosa	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Mir	11	DNS	Ret	Ret	Ret	DNS	DNS	0	Ret	Ret	17	Ret	5	12	Ret	Ret	12	Ret	14	DNS
P_Espargaro	DNS	15	0	0	0	0	0	0	12	16	Ret	Ret	13	15	Ret	18	18	15	18	14
Savadori	0	0	0	0	12	18	0	11	0	19	0	0	0	0	0	0	0	0	0	13
Folger	0	0	12	17	13	19	17	14	0	0	0	0	0	0	0	0	0	0	0	0
Bradl	0	0	Ret	14	0	0	0	13	0	0	0	18	15	14	0	0	0	0	0	0
Pirro	0	0	11	0	0	16	0	0	0	0	0	Ret	16	16	0	0	0	0	0	0
Petrucci	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crutchlow	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
Lecuona	0	0	0	16	0	0	0	Ret	17	20	16	0	0	0	0	0	0	16	Ret	0
Bautista	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
Takahashi	0	0	0	0	0	0	0	0	0	0	0	DNQ	0	0	0	0	0	0	0	0
