Rider	S_THA	S_ARG	S_AME	S_QAT	S_SPA	S_FRA	S_GBR	S_ARA	S_ITA	S_NED	S_GER	S_CZE	S_AUT	S_HUN	S_CAT	S_RSM	S_JPN	S_INA	S_AUS	S_MAL	S_POR	S_VAL
M_Marquez	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	Ret	2	6	0	0	0	0
A_Marquez	2	2	2	2	2	2	1	2	2	2	8	17	2	8	Ret	2	10	4	6	2	1	1
Bezzecchi	12	6	10	9	8	17	4	8	6	3	2	4	4	7	Ret	1	Ret	1	1	6	3	5
Acosta	6	9	7	11	10	19	8	5	Ret	9	9	2	3	17	4	5	3	Ret	3	3	2	2
Bagnaia	3	3	3	8	3	0	6	12	3	5	12	7	Ret	13	14	13	1	14	19	1	8	14
Di_Giannantonio	Ret	5	4	6	6	7	3	6	5	4	4	Ret	8	2	3	3	13	8	5	10	5	3
Morbidelli	5	7	5	3	4	15	11	4	7	8	Ret	0	14	3	Ret	4	5	7	15	4	15	6
Aldeguer	13	19	11	4	5	3	14	3	9	7	10	14	6	5	Ret	6	11	2	Ret	7	6	11
Quartararo	7	10	6	5	Ret	4	7	11	10	Ret	3	5	11	Ret	2	Ret	6	Ret	7	5	4	7
R_Fernandez	11	16	17	17	16	10	19	10	8	Ret	13	6	Ret	11	11	9	8	3	2	13	DNS	4
Binder	8	Ret	12	14	11	0	Ret	9	Ret	10	6	10	5	18	6	Ret	12	10	Ret	16	9	8
Zarco	10	4	16	Ret	Ret	6	5	16	Ret	11	7	8	9	Ret	7	11	Ret	Ret	12	8	7	10
Marini	15	13	8	15	13	12	10	0	0	0	16	15	12	4	8	7	7	13	8	Ret	12	Ret
Bastianini	18	14	13	13	14	13	15	17	11	13	0	3	7	Ret	5	10	Ret	Ret	10	9	13	13
Mir	9	8	Ret	DNS	9	9	12	Ret	14	Ret	14	19	13	6	13	DNS	4	5	11	Ret	Ret	Ret
Ogura	4	15	9	7	12	14	DNS	0	12	16	17	16	15	15	9	12	9	0	17	12	11	9
Miller	Ret	11	14	19	Ret	11	9	13	16	14	5	12	17	12	12	14	Ret	11	4	14	14	12
Vinales	14	18	Ret	10	7	5	13	7	4	6	DNS	0	DNS	0	17	15	16	DNS	0	0	0	18
Rins	17	12	15	12	15	8	20	14	18	15	15	18	16	16	15	17	18	12	13	15	17	15
Oliveira	16	Ret	0	0	0	20	16	15	13	12	11	13	18	14	10	16	15	9	14	Ret	16	17
Martin	0	0	0	16	0	0	0	0	0	0	0	11	10	9	Ret	8	Ret	0	0	0	0	22
P_Espargaro	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	9	11	10	0
Nakagami	0	0	0	0	0	16	0	0	15	0	0	Ret	0	0	0	0	14	0	0	0	0	0
Savadori	20	Ret	20	0	19	18	18	18	17	17	18	0	0	0	Ret	0	0	0	16	18	18	0
A_Fernandez	0	0	18	18	17	0	0	Ret	0	0	0	Ret	0	0	0	18	0	0	0	19	0	20
Chantra	19	17	19	20	20	0	21	19	19	19	0	0	0	0	18	19	17	Ret	18	17	Ret	21
Bulega	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ret	16
A_Espargaro	0	0	0	0	18	0	17	0	0	18	0	0	0	0	16	0	0	0	0	0	0	19
Pirro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	0	0
