	S_POR	S_ARG	S_AME	S_SPA	S_FRA	S_ITA	S_GER	S_NED	S_GBR	S_AUT	S_CAT	S_RSM	S_IND	S_JPN	S_INA	S_AUS	S_THA	S_MAL	S_QAT	S_VAL
Bagnaia	1	6	1	2	3	1	2	2	14	1	2	3	2	3	8	0	7	3	5	5
Martin	2	8	3	4	1	3	1	6	6	3	5	1	1	1	1	0	1	2	1	1
Bezzecchi	Ret	2	6	9	7	2	7	1	2	Ret	8	2	5	6	3	0	6	7	13	7
Binder	12	1	5	1	2	11	6	5	9	2	4	5	4	2	19	0	2	5	7	2
Zarco	8	12	11	8	6	4	5	13	4	Ret	7	14	Ret	5	12	0	9	8	10	9
A_Espargaro	6	Ret	4	Ret	8	8	9	4	5	7	1	8	Ret	Ret	Ret	0	5	12	Ret	13
Vinales	5	7	10	7	9	13	Ret	7	3	8	3	6	8	9	4	0	18	10	6	4
Marini	Ret	3	7	10	4	5	4	10	11	Ret	12	7	Ret	0	2	0	3	9	3	17
A_Marquez	9	5	Ret	Ret	15	Ret	8	9	1	4	10	9	DNS	0	DNS	0	8	1	4	8
Quartararo	10	9	19	12	Ret	10	13	3	21	15	18	13	6	15	5	0	11	16	8	Ret
Miller	4	10	9	3	Ret	6	3	11	7	5	16	15	7	4	9	0	10	6	12	12
Di_Ginnantonio	16	13	17	11	12	14	12	Ret	12	11	13	17	10	8	6	0	Ret	13	2	6
Morbidelli	14	4	14	16	13	16	15	15	15	9	15	18	15	16	15	0	15	11	15	18
M_Marquez	3	0	0	0	5	7	11	17	18	10	11	10	3	7	Ret	0	4	21	11	3
Bastianini	Ret	0	0	DNS	0	9	10	8	13	13	9	0	0	0	7	0	13	4	20	15
Oliveira	7	0	8	5	0	12	16	19	10	Ret	6	12	12	14	10	0	17	18	Ret	0
A_Fernandez	Ret	16	16	17	Ret	20	14	14	8	17	17	19	11	12	13	0	Ret	14	9	10
Nakagami	15	11	13	Ret	10	17	17	12	20	Ret	20	21	13	17	11	0	19	19	18	16
Rins	13	15	2	13	11	Ret	0	0	0	0	0	0	0	WD	18	0	0	0	0	19
R_Fernandez	11	14	15	14	DNS	19	18	18	19	14	14	11	9	10	14	0	14	17	14	11
Pedrosa	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Mir	Ret	Ret	12	Ret	14	DNS	0	0	17	12	21	23	Ret	13	16	0	12	23	19	DNS
P_Espargaro	DNS	0	0	0	0	0	0	0	16	6	Ret	16	Ret	11	17	0	16	15	16	14
Savadori	0	0	0	0	17	18	0	16	0	Ret	0	0	0	0	0	0	0	0	0	20
Folger	0	0	20	19	Ret	21	Ret	21	0	0	0	0	0	0	0	0	0	0	0	0
Bradl	0	0	18	15	0	0	0	22	0	0	0	22	Ret	20	0	0	0	0	0	0
Pirro	0	0	Ret	0	0	15	0	0	0	0	0	20	14	19	0	0	0	0	0	0
Petrucci	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crutchlow	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
Lecuona	0	0	0	18	0	0	0	20	22	16	19	0	0	0	0	0	0	20	17	0
Bautista	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
Takahashi	0	0	0	0	0	0	0	0	0	0	0	DNQ	0	0	0	0	0	0	0	0
