	S_QAT	S_POR	S_AME	S_SPA	S_FRA	S_CAT	S_ITA	S_NED	S_GER	S_GBR	S_AUT	S_ARA	S_RSM	S_EMI	S_INA	S_JPN	S_AUS	S_THA	S_MAL	S_SLD
Martin	1	3	3	1	1	4	Ret	2	1	2	2	2	1	2	10	4	1	2	1	3
Bagnaia	4	4	8	Ret	Ret	Ret	1	1	3	Ret	1	9	2	1	1	1	4	3	Ret	1
M_Marquez	5	2	2	6	2	2	2	Ret	6	Ret	Ret	1	5	4	3	3	2	4	2	7
Bastianini	6	6	6	Ret	4	5	Ret	4	4	1	4	7	4	3	2	2	3	1	3	2
Binder	2	Ret	12	Ret	15	Ret	6	6	8	4	7	6	7	6	13	Ret	Ret	9	7	9
Acosta	8	7	4	2	6	3	3	10	22	5	10	3	6	5	6	Ret	Ret	Ret	9	Ret
Vinales	9	1	1	Ret	3	8	5	3	7	8	11	19	11	10	7	9	Ret	20	14	12
A_Marquez	7	13	14	Ret	14	14	8	8	9	6	20	4	10	13	14	7	Ret	5	4	5
Morbidelli	20	16	10	4	12	11	4	9	5	Ret	6	Ret	3	9	5	5	5	6	6	6
Di_Giannantonio	Ret	Ret	Ret	13	7	6	7	5	12	9	DNS	15	Ret	18	9	6	7	8	0	0
A_Espargaro	3	8	5	Ret	5	1	9	Ret	WD	3	3	Ret	12	12	16	Ret	8	15	12	4
Bezzecchi	11	11	13	Ret	Ret	9	11	11	10	Ret	8	10	Ret	8	4	10	Ret	7	10	8
Quartararo	12	9	15	5	10	10	Ret	7	13	11	12	8	9	7	12	12	11	10	5	10
Miller	10	5	7	14	8	7	12	13	11	7	5	13	8	14	11	8	Ret	11	8	19
Oliveira	13	12	11	8	11	Ret	Ret	12	2	10	13	5	15	11	0	0	0	0	0	18
R_Fernandez	14	10	9	12	9	Ret	10	17	14	12	14	11	17	17	19	11	6	14	18	14
Zarco	16	Ret	Ret	11	13	Ret	15	16	17	14	15	Ret	13	16	8	14	Ret	12	Ret	11
Rins	17	Ret	16	15	Ret	12	13	19	0	DNS	Ret	17	19	0	15	16	12	17	11	16
Nakagami	19	17	Ret	10	16	13	16	18	18	17	16	14	20	19	17	Ret	14	18	17	17
A_Fernandez	18	15	Ret	7	17	17	17	15	16	13	Ret	12	16	20	Ret	15	9	16	13	20
Mir	15	14	Ret	9	Ret	15	Ret	14	21	16	19	18	WD	21	Ret	Ret	13	13	16	13
Marini	21	18	17	Ret	18	16	19	Ret	15	15	17	16	18	15	18	13	10	19	15	15
P_Espargaro	0	0	0	0	0	0	14	0	0	0	9	0	14	0	0	0	0	0	0	0
Pedrosa	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradl	0	0	0	Ret	0	18	0	0	19	0	Ret	0	Ret	0	0	0	0	0	0	22
Gardner	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	18	0	0	0	0
Iannone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
Savadori	0	0	0	16	0	0	18	Ret	0	0	18	0	0	0	0	17	15	21	20	0
Pirro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
